vcpu,ram_gb,nodes,dataset,task,target_cost,target_runtime,instance_type
4,3.6,3,buzz,logistic_regression,0.0245829703769683,188.85764694213867,n1-highcpu-4
2,1.8,3,buzz,standard_scaler,0.000558024197479,8.573995351791382,n1-highcpu-2
2,7.5,4,creditcard,poisson_regression,0.006501866920789,55.943405628204346,n1-standard-2
2,13.0,3,santander,kmeans,0.0124379801447788,114.54778337478638,n1-highmem-2
4,26.0,3,santander,quantile_transformer,0.0169278096856673,77.94847130775452,n1-highmem-4
2,1.8,5,santander,quantile_transformer,0.0084462304977244,77.86537718772888,n1-highcpu-2
2,7.5,4,buzz,logistic_regression,0.016370436445554,140.85461568832395,n1-standard-2
2,13.0,4,creditcard,standard_scaler,0.0006835356469419,4.721274614334106,n1-highmem-2
4,16.0,4,buzz,logistic_regression,0.0218104807977676,133.04481983184814,e2-standard-4
2,16.0,2,buzz,xgboost,0.0032364030281119,58.53975772857666,e2-highmem-2
2,1.8,2,buzz,quantile_transformer,0.0015452539407014,35.61404728889465,n1-highcpu-2
4,16.0,2,buzz,polynomial_features,0.0040966890768845,49.97993993759155,e2-standard-4
2,7.5,4,creditcard,standard_scaler,0.0006370587446954,5.481384992599487,n1-standard-2
2,16.0,3,creditcard,spectral_clustering,0.0073221555767178,88.29498052597046,e2-highmem-2
4,3.6,5,buzz,xgboost,0.020771496789654,95.74569582939148,n1-highcpu-4
2,13.0,3,creditcard,naive_bayes,0.000707390035212,6.51472020149231,n1-highmem-2
2,13.0,3,creditcard,quantile_transformer,0.0013823713560501,12.730971813201904,n1-highmem-2
4,26.0,5,creditcard,quantile_transformer,0.004364380249381,12.058149576187134,n1-highmem-4
2,13.0,3,creditcard,spectral_clustering,0.0090679111288984,83.51107716560364,n1-highmem-2
2,1.8,4,buzz,xgboost,0.003440789772484,39.65058636665344,n1-highcpu-2
4,15.0,4,santander,quantile_transformer,0.0143472634996838,61.723408937454224,n1-standard-4
2,13.0,2,creditcard,kmeans,0.0010124941373136,13.98687219619751,n1-highmem-2
2,7.5,5,creditcard,kmeans,0.0022604239143265,15.55932331085205,n1-standard-2
4,26.0,4,santander,naive_bayes,0.0056575718171331,19.53881287574768,n1-highmem-4
2,16.0,2,buzz,logistic_regression,0.0194246202865301,351.3507297039032,e2-highmem-2
2,16.0,3,creditcard,xgboost,0.0016637181912529,20.06212019920349,e2-highmem-2
2,8.0,5,creditcard,kmeans,0.0013611885005434,13.285288333892822,e2-standard-2
4,15.0,4,creditcard,linear_regression,0.0159758862214618,68.7299120426178,n1-standard-4
4,16.0,4,buzz,naive_bayes,0.0010175376422723,6.207020998001099,e2-standard-4
2,8.0,5,creditcard,spectral_clustering,0.0068854972932835,67.20290160179138,e2-standard-2
4,16.0,3,santander,quantile_transformer,0.0074225695772647,60.37063503265381,e2-standard-4
4,15.0,5,santander,linear_regression,0.0181577265120877,62.49313139915466,n1-standard-4
2,16.0,3,santander,logistic_regression,0.0217790889131581,262.625426530838,e2-highmem-2
2,8.0,4,creditcard,kmeans,0.0010258114348808,12.51498293876648,e2-standard-2
4,16.0,2,santander,standard_scaler,0.0011502587717453,14.03325057029724,e2-standard-4
2,2.0,3,creditcard,naive_bayes,0.0003334064425063,7.346181392669678,e2-highcpu-2
2,16.0,4,buzz,xgboost,0.0042814167125135,38.72093415260315,e2-highmem-2
2,7.5,4,creditcard,quantile_transformer,0.0013355779076682,11.49158811569214,n1-standard-2
4,15.0,5,santander,naive_bayes,0.0047550248673227,16.365286350250244,n1-standard-4
4,32.0,5,santander,xgboost,0.0160782450571113,58.16436100006104,e2-highmem-4
2,8.0,4,creditcard,logistic_regression,0.0030828973954518,37.61159896850586,e2-standard-2
2,1.8,5,santander,logistic_regression,0.0164624517117275,151.76652026176453,n1-highcpu-2
4,3.6,4,santander,poisson_regression,0.0537898954985406,309.9289753437042,n1-highcpu-4
2,16.0,5,creditcard,kmeans,0.0019288717559165,13.955701351165771,e2-highmem-2
2,7.5,3,buzz,linear_regression,0.0400662976859807,459.6515986919403,n1-standard-2
4,32.0,4,buzz,kmeans,0.0057787733415169,26.131479024887085,e2-highmem-4
4,3.6,4,santander,kmeans,0.015720392211861,90.57844424247742,n1-highcpu-4
4,26.0,2,creditcard,quantile_transformer,0.0025914309366808,17.899369478225708,n1-highmem-4
2,7.5,3,creditcard,standard_scaler,0.0006854632534583,7.863823175430298,n1-standard-2
2,1.8,3,creditcard,spectral_clustering,0.0067212397484381,103.2712893486023,n1-highcpu-2
4,3.6,2,creditcard,kmeans,0.0019085125864611,21.99310278892517,n1-highcpu-4
2,8.0,2,santander,standard_scaler,0.0007455749815662,18.19215083122253,e2-standard-2
2,2.0,2,buzz,logistic_regression,0.0117318552275307,387.7444715499878,e2-highcpu-2
2,1.8,2,santander,standard_scaler,0.0009111007811625,20.998481512069706,n1-highcpu-2
2,16.0,4,creditcard,quantile_transformer,0.0015787455412472,14.278101444244385,e2-highmem-2
2,13.0,2,buzz,polynomial_features,0.0047060308161841,65.01040267944336,n1-highmem-2
4,3.6,4,buzz,poisson_regression,0.0098611317892604,56.81830096244812,n1-highcpu-4
2,8.0,4,santander,quantile_transformer,0.0059563254345655,72.66765475273132,e2-standard-2
4,26.0,2,santander,polynomial_features,0.0705504024013678,487.30132126808167,n1-highmem-4
2,2.0,3,buzz,naive_bayes,0.0003602481877553,7.937604665756226,e2-highcpu-2
4,32.0,5,creditcard,polynomial_features,0.0072254984122051,26.138828992843628,e2-highmem-4
4,32.0,4,creditcard,naive_bayes,0.0011663449785391,5.274184942245483,e2-highmem-4
4,32.0,3,buzz,linear_regression,0.0637977366093047,384.6558470726013,e2-highmem-4
4,4.0,2,creditcard,naive_bayes,0.0003145511605421,5.198047161102295,e2-highcpu-4
4,3.6,5,creditcard,poisson_regression,0.0079247993099027,36.5291645526886,n1-highcpu-4
2,16.0,4,buzz,linear_regression,0.0344961170225037,311.9812822341919,e2-highmem-2
4,26.0,3,santander,xgboost,0.0161591569161017,74.40901112556458,n1-highmem-4
2,13.0,4,buzz,polynomial_features,0.0109554925466113,75.67109203338623,n1-highmem-2
4,32.0,4,santander,polynomial_features,0.1046903646923616,473.4074010848999,e2-highmem-4
2,7.5,5,buzz,polynomial_features,0.0107036592422591,73.67719554901123,n1-standard-2
4,26.0,4,santander,standard_scaler,0.0067030652668741,23.14949631690979,n1-highmem-4
4,16.0,4,buzz,poisson_regression,0.0084639201912085,51.63025736808777,e2-standard-4
4,26.0,3,santander,xgboost,0.016751205766201,77.13525295257568,n1-highmem-4
2,7.5,5,creditcard,naive_bayes,0.0006128636082013,4.218564033508301,n1-standard-2
4,3.6,5,santander,quantile_transformer,0.0142007712597979,65.45810055732727,n1-highcpu-4
4,3.6,2,santander,linear_regression,0.0150670306710137,173.62775421142578,n1-highcpu-4
4,32.0,3,buzz,poisson_regression,0.0109160792736268,65.81634306907654,e2-highmem-4
2,8.0,4,santander,kmeans,0.008641675260957,105.4291410446167,e2-standard-2
4,15.0,4,santander,standard_scaler,0.0051527107303407,22.16749358177185,n1-standard-4
4,16.0,5,buzz,standard_scaler,0.0014303385147452,6.980098485946655,e2-standard-4
2,16.0,5,santander,linear_regression,0.0156411393298698,113.16619086265564,e2-highmem-2
4,26.0,2,santander,naive_bayes,0.0021806378545496,15.061965227127075,n1-highmem-4
2,13.0,5,santander,linear_regression,0.0220192246819204,121.67184782028198,n1-highmem-2
4,15.0,2,santander,logistic_regression,0.0422218679846127,363.2856709957123,n1-standard-4
4,3.6,2,buzz,naive_bayes,0.0006410430308712,7.387179613113403,n1-highcpu-4
4,26.0,4,creditcard,standard_scaler,0.0019630005388789,6.779357194900513,n1-highmem-4
2,8.0,5,creditcard,linear_regression,0.0055937315452297,54.59518384933472,e2-standard-2
4,4.0,5,santander,kmeans,0.0120355993010719,79.5566771030426,e2-highcpu-4
4,15.0,5,creditcard,logistic_regression,0.0086360208992163,29.722442865371704,n1-standard-4
4,3.6,5,buzz,logistic_regression,0.0370332788057459,170.70397400856018,n1-highcpu-4
2,16.0,2,santander,linear_regression,0.01365889578942,247.0608398914337,e2-highmem-2
4,16.0,2,creditcard,xgboost,0.0012658293946107,15.44322156906128,e2-standard-4
4,4.0,2,buzz,xgboost,0.0021202471499204,35.03768563270569,e2-highcpu-4
4,32.0,2,creditcard,poisson_regression,0.0136811523596525,123.73170733451845,e2-highmem-4
2,13.0,4,santander,logistic_regression,0.0250731308456261,173.18355917930603,n1-highmem-2
4,16.0,5,santander,xgboost,0.0114270216968655,55.76423764228821,e2-standard-4
4,15.0,5,santander,standard_scaler,0.0062810100644164,21.61724305152893,n1-standard-4
2,2.0,4,santander,quantile_transformer,0.0053163070845254,87.85348272323608,e2-highcpu-2
2,2.0,3,buzz,standard_scaler,0.0004308016420328,9.492159128189089,e2-highcpu-2
4,4.0,5,creditcard,standard_scaler,0.0012165628650228,8.041618585586548,e2-highcpu-4
4,4.0,2,creditcard,logistic_regression,0.0048297017330503,79.81219124794006,e2-highcpu-4
2,13.0,5,creditcard,quantile_transformer,0.0026208249431186,14.481918334960938,n1-highmem-2
4,15.0,4,creditcard,xgboost,0.0031989747809304,13.762319803237917,n1-standard-4
2,1.8,4,creditcard,spectral_clustering,0.0064537451708051,74.37094306945801,n1-highcpu-2
2,2.0,4,buzz,kmeans,0.0024881102422634,41.11672759056091,e2-highcpu-2
2,7.5,2,creditcard,naive_bayes,0.0004726237706343,8.133105039596558,n1-standard-2
2,16.0,5,buzz,logistic_regression,0.0175394351104338,126.9006700515747,e2-highmem-2
2,16.0,5,creditcard,xgboost,0.0022105042901674,15.993358612060549,e2-highmem-2
4,26.0,2,creditcard,kmeans,0.0025802944527202,17.822448253631592,n1-highmem-4
2,2.0,5,buzz,linear_regression,0.0207696149226784,274.5790228843689,e2-highcpu-2
4,16.0,5,creditcard,spectral_clustering,0.013249717677315,64.65905332565308,e2-standard-4
4,32.0,2,santander,standard_scaler,0.0019619545201423,17.743825674057007,e2-highmem-4
4,16.0,2,buzz,quantile_transformer,0.002464833047533,30.0711636543274,e2-standard-4
2,16.0,2,creditcard,naive_bayes,0.000320970101206,5.80567741394043,e2-highmem-2
4,26.0,2,buzz,kmeans,0.0053663280002805,37.065964698791504,n1-highmem-4
4,16.0,2,creditcard,spectral_clustering,0.0092574044317166,112.94108700752258,e2-standard-4
2,8.0,5,buzz,poisson_regression,0.0092361857984264,90.14577436447144,e2-standard-2
4,4.0,2,santander,standard_scaler,0.001402396800092,23.175004959106445,e2-highcpu-4
2,8.0,5,santander,standard_scaler,0.0022911614745457,22.36188507080078,e2-standard-2
